Pathways	Common-Name	Genes of pathway	Accession-1
PWY-841	superpathway of purine nucleotides <i>de novo</i> biosynthesis I	YMR300C // YDR408C // YGR061C // YGL234W // YOR128C // YAR015W // YMR120C // YLR028C // YNL220W // YLR359W // YDR226W // YKL024C // YHR216W // YLR432W // YML056C // YMR217W // YDR454C // YER070W // YJL026W // YGR180C // YKL067W // G3O-7 // G3O-19 // G3O-35	YMR300C // YDR408C // YGR061C // YGL234W // YOR128C // YAR015W // YMR120C // YLR028C // YNL220W // YLR359W // YDR226W // YKL024C // YHR216W // YLR432W // YML056C // YMR217W // YDR454C // YER070W // YJL026W // YGR180C // YKL067W // YLR043C // YGR209C // YCR083W
PWY-7208	superpathway of pyrimidine nucleobases salvage	YKL024C // YJR057W // YKL067W // YBL039C // YJR103W // YHR128W	YKL024C // YJR057W // YKL067W // YBL039C // YJR103W // YHR128W
PWY-7196	superpathway of pyrimidine ribonucleosides salvage	YDR400W // YLR245C // G3O-29637 // YNR012W // YHR128W // YJR057W // YBL039C // YJR103W // YKL024C // YKL067W	YDR400W // YLR245C // YDR020C // YNR012W // YHR128W // YJR057W // YBL039C // YJR103W // YKL024C // YKL067W
PWY-821	superpathway of sulfur amino acid biosynthesis (<i>Saccharomyces cerevisiae</i>)	YJR137C // YFR030W // YPR167C // YJR010W // YKL001C // YLR303W // YNL277W // YGR155W // YML082W // YJR130C // G3O-32157 // YAL012W // YFR055W // G3O-31154 // YGL184C // G3O-7 // G3O-19 // G3O-35	YJR137C // YFR030W // YPR167C // YJR010W // YKL001C // YLR303W // YNL277W // YGR155W // YML082W // YJR130C // YLL058W // YAL012W // YFR055W // YHR112C // YGL184C // YLR043C // YGR209C // YCR083W
PWY-6612	superpathway of tetrahydrofolate biosynthesis	YMR113W // YOR236W // YNL256W // YGR267C // YNR033W // G3O-84	YMR113W // YOR236W // YNL256W // YGR267C // YNR033W // YMR289W
FOLSYN-PWY	superpathway of tetrahydrofolate biosynthesis and salvage	YMR113W // YOR236W // YNL256W // YGR267C // YNR033W // G3O-84 // YBR084W // YGR204W // YDR408C	YMR113W // YOR236W // YNL256W // YGR267C // YNR033W // YMR289W // YBR084W // YGR204W // YDR408C
PWY-7235	superpathway of ubiquinol-6 biosynthesis (eukaryotic)	YNR041C // YML110C // YOR125C // YGR255C // YOL096C	YNR041C // YML110C // YOR125C // YGR255C // YOL096C
PWY-7411	superpathway phosphatidate biosynthesis (yeast)	G3O-34274 // G3O-32249 // YDL052C // G3O-33618 // G3O-32052 // G3O-33688 // YKR067W // G3O-4104 // YIL124W // YIL155C // YOL059W // YDL022W	YPR139C // YLR099C // YDL052C // YOR081C // YKR089C // YOR175C // YKR067W // YBL011W // YIL124W // YIL155C // YOL059W // YDL022W
PWY-5690	TCA cycle II (plants and fungi)	YPL262W // YGR244C // YOR142W // G3O-30495 // YDR148C // YIL125W // YFL018C // YCR005C // YNR001C // YPR001W // YJL200C // YLR304C // YOR136W // YNL037C // YKL029C // YOL126C // YKL085W // YDL078C	YPL262W // YGR244C // YOR142W // YFR049W // YDR148C // YIL125W // YFL018C // YCR005C // YNR001C // YPR001W // YJL200C // YLR304C // YOR136W // YNL037C // YKL029C // YOL126C // YKL085W // YDL078C
PWY-6614	tetrahydrofolate biosynthesis	YNL256W // YMR113W // YOR236W	YNL256W // YMR113W // YOR236W
PWY-6613	tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate	YBR084W // YGR204W // YDR408C	YBR084W // YGR204W // YDR408C
PWY-5189	tetrapyrrole biosynthesis II (from glycine)	YDR232W // YGL040C // YDL205C // YOR278W	YDR232W // YGL040C // YDL205C // YOR278W
PWY-7357	thiamin formation from pyrithiamine and oxythiamine	G3O-33466 // G3O-34143 // G3O-34260 // YPL214C // YBR092C // YBR093C // YHR215W // G3O-29451 // YOR143C	YOL055C // YPL258C // YPR121W // YPL214C // YBR092C // YBR093C // YHR215W // YDL024C // YOR143C
PWY-6898	thiamin salvage III	YOR143C	YOR143C
PWY-7356	thiamin salvage IV	YPL214C // YBR092C // YBR093C // YHR215W // G3O-29451 // YOR143C // G3O-33466 // G3O-34143 // G3O-34260	YPL214C // YBR092C // YBR093C // YHR215W // YDL024C // YOR143C // YOL055C // YPL258C // YPR121W
PWY-7369	thiamin triphosphate metabolism		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).
PWY-6908	thiamine diphosphate biosynthesis IV (eukaryotes)	YPL214C // YBR092C // YBR093C // YHR215W // G3O-29451 // YOR143C	YPL214C // YBR092C // YBR093C // YHR215W // YDL024C // YOR143C
PWY-6909	thiazole biosynthesis III	G3O-154	YPR144W
THIOREDOX-PWY	thioredoxin system	YDR353W // YHR106W // G3O-7 // G3O-19 // G3O-35	YDR353W // YHR106W // YLR043C // YGR209C // YCR083W
PWY-5277	thiosulfate disproportionation I (thiol-dependent)	G3O-33772	YOR286W
PWY-5350	thiosulfate disproportionation III (rhodanese)	YOR251C // G3O-33771	YOR251C // YOR285W
PWY-5123	<i>trans, trans</i>-farnesyl diphosphate biosynthesis	YJL167W // YPL117C	YJL167W // YPL117C
TRESYN-PWY	trehalose biosynthesis I	YBR126C // YDR074W	YBR126C // YDR074W
PWY-881	trehalose biosynthesis II	YDR074W	YDR074W
PWY0-1182	trehalose degradation II (cytosolic)	YBR001C // YDR001C // YFR053C // YGL253W // YCL040W	YBR001C // YDR001C // YFR053C // YGL253W // YCL040W
PWY0-1466	trehalose degradation VI (periplasmic)	YPR026W // YBR019C	YPR026W // YBR019C
TRIGLSYN-PWY	triacylglycerol biosynthesis	G3O-4124 // YDR503C // YDR284C // G3O-33122 // YOR245C // G3O-4104 // YKR067W // YDL052C // G3O-32249 // G3O-34274 // YNR008W // G3O-34275 // G3O-33794	YMR165C // YDR503C // YDR284C // YNL094W // YOR245C // YBL011W // YKR067W // YDL052C // YLR099C // YPR139C // YNR008W // YPR140W // YOR311C
LIPAS-PWY	triacylglycerol degradation	YDR058C // YKL140W // G3O-32052 // G3O-33618 // G3O-33620 // YBR204C // G3O-32977 // G3O-31885	YDR058C // YKL140W // YKR089C // YOR081C // YOR084W // YBR204C // YMR313C // YKL094W
TRNA-CHARGING-PWY	tRNA charging	G3O-29896 // G3O-31138 // G3O-33244 // G3O-33684 // G3O-30716 // G3O-33449 // G3O-28968 // G3O-33954 // G3O-32448 // G3O-34056 // G3O-30804 // G3O-33810 // G3O-33076 // G3O-29339 // G3O-31080 // G3O-34006 // G3O-30875 // G3O-34000 // G3O-29838 // G3O-33496 // G3O-31343 // G3O-31956 // G3O-29640 // G3O-31074 // G3O-30256 // G3O-31081 // G3O-32214 // G3O-30438 // G3O-34202 // G3O-30933 // G3O-29651 // G3O-33102 // G3O-34192 // G3O-29078 // G3O-34225 // G3O-30867 // G3O-32554 // G3O-34390 // G3O-30959 // G3O-29233 // G3O-32999 // G3O-30365 // G3O-30962 // G3O-30978 // G3O-31785 // G3O-29407 // G3O-28897 // G3O-32537 // G3O-30364 // G3O-33859 // G3O-30958 // G3O-30056 // G3O-32538 // G3O-30516 // G3O-30083 // G3O-31798 // G3O-33007 // G3O-31799 // G3O-33878 // G3O-33008 // G3O-32090 // G3O-33006 // G3O-34347 // G3O-31797 // G3O-32087 // G3O-29412 // G3O-28898 // G3O-29410 // G3O-29405 // G3O-30060	YDR341C // YHR091C // YNL247W // YOR168W // YGL245W // YOL033W // YBL076C // YPL040C // YLR382C // YPL160W // YGR094W // YOR335C // YNL040W // YCR024C // YHR019C // YPL104W // YGR185C // YPL097W // YDR268W // YOL097C // YIL078W // YKL194C // YDR023W // YHR011W // YER087W // YHR020W // YLR060W // YFL022C // YPR047W // YGR264C // YDR037W // YNL073W // YPR033C // YBR121C // YPR081C // YGR171C // tR(CCG)L // tC(GCA)Q // tC(GCA)G // tC(GCA)B // YNCM0036C // tE(UUC)E1 // YNCG0012W // YNCG0019W // YNCJ0021C // YNCC0002W // YNCA0005W // tA(AGC)L // tA(UGC)E // tA(UGC)O // tA(UGC)G // tA(AGC)D // tA(UGC)L // YNCF0012C // YNCD0018W // YNCJ0010W // YNCM0006W // YNCJ0027C // YNCO0010W // YNCM0037W // tW(CCA)K // tW(CCA)M // tW(CCA)P // tW(CCA)J // tT(CGU)K // YNCC0013W // YNCA0002W // YNCC0004C // YNCC0007C // YNCD0027C
PWY-6829	tRNA methylation	G3O-29720 // G3O-28927 // YBR061C // G3O-32618 // G3O-33520 // G3O-33353 // G3O-33521 // G3O-33945 // G3O-31576 // G3O-33092 // G3O-31120	YDR120C // YBL024W // YBR061C // YML014W // YOL124C // YNR046W // YOL125W // YPL030W // YJL125C // YNL062C // YHR070W
PWY-6689	tRNA splicing	G3O-29003 // G3O-32787 // YGR247W // G3O-33500 // G3O-32253 // G3O-32762 // G3O-28870 // G3O-33989 // G3O-31543	YBR022W // YMR087W // YGR247W // YOL102C // YLR105C // YMR059W // YAR008W // YPL083C // YJL087C
PWY-7888	tRNA-uridine 2-thiolation (cytoplasmic)	G3O-33353 // G3O-32618 // G3O-30688 // G3O-31153 // YOR251C // G3O-30385 // G3O-29283	YNR046W // YML014W // YGL211W // YHR111W // YOR251C // YER048W-A // YCL017C
PWY-7891	tRNA-uridine 2-thiolation (yeast mitochondria)	G3O-30385 // G3O-29283 // YOR251C // G3O-30709 // G3O-32728 // G3O-29458	YER048W-A // YCL017C // YOR251C // YGL236C // YMR023C // YDL033C
PWY-5081	tryptophan degradation VIII (to tryptophol)	YGL202W // YLR044C // YLR134W // YGR087C // YDR380W // YOL086C // YMR303C // YMR083W // YGL256W // YBR145W // YDL168W // YHR137W	YGL202W // YLR044C // YLR134W // YGR087C // YDR380W // YOL086C // YMR303C // YMR083W // YGL256W // YBR145W // YDL168W // YHR137W
TYRSYN	tyrosine biosynthesis	YPR060C // YGL202W // YBR166C	YPR060C // YGL202W // YBR166C
PWY3O-4108	tyrosine degradation	YLR044C // YGR087C // YOL086C // YMR303C // YMR083W // YGL256W // YBR145W // YHR137W // YGL202W	YLR044C // YGR087C // YOL086C // YMR303C // YMR083W // YGL256W // YBR145W // YHR137W // YGL202W
PWY-7230	ubiquinol-6 biosynthesis from 4-aminobenzoate (yeast)	YNR041C // YML110C // YOR125C // YGR255C // YOL096C	YNR041C // YML110C // YOR125C // YGR255C // YOL096C
PWY3O-19	ubiquinol-6 biosynthesis from 4-hydroxybenzoate (eukaryotic)	YGR255C // YML110C // YOR125C // YOL096C // YNR041C	YGR255C // YML110C // YOR125C // YOL096C // YNR041C
PWY-7344	UDP-&alpha;-D-galactose biosynthesis	YBR019C	YBR019C
PWY-7343	UDP-&alpha;-D-glucose biosynthesis I	YHL012W // YKL035W // YMR105C // YKL127W	YHL012W // YKL035W // YMR105C // YKL127W
UDPNACETYLGALSYN-PWY	UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis II	YKL104C // G3O-32784 // YFL017C // YEL058W // YDL103C // YBR196C // YFR053C // YGL253W // YCL040W	YKL104C // YMR084W // YFL017C // YEL058W // YDL103C // YBR196C // YFR053C // YGL253W // YCL040W
UDPNAGSYN-YEAST-PWY	UDP-N-acetylglucosamine biosynthesis	YKL104C // G3O-32784 // YFL017C // YEL058W // YDL103C	YKL104C // YMR084W // YFL017C // YEL058W // YDL103C
PWY-7790	UMP biosynthesis II	YJL130C // YLR420W // YMR271C // YML106W // YEL021W // YKL216W	YJL130C // YLR420W // YMR271C // YML106W // YEL021W // YKL216W
PWY-4984	urea cycle	YJL088W // YOL058W // YHR018C // YPL111W // YJL130C	YJL088W // YOL058W // YHR018C // YPL111W // YJL130C
PWY-5703	urea degradation I	YBR208C	YBR208C
PWY-7185	UTP and CTP dephosphorylation I	YBL039C // YJR103W // G3O-30218 // G3O-310 // G3O-29558 // G3O-30192	YBL039C // YJR103W // YER037W // YOR155C // YDL166C // YER005W
PWY-7177	UTP and CTP dephosphorylation II	YBL039C // YJR103W // G3O-30192	YBL039C // YJR103W // YER005W
PWY-5057	valine degradation	YJR148W // YHR208W // YGR087C // YLR134W // YLR044C // YDL080C // YOL086C // YMR303C // YMR083W // YGL256W // YBR145W // YDL168W	YJR148W // YHR208W // YGR087C // YLR134W // YLR044C // YDL080C // YOL086C // YMR303C // YMR083W // YGL256W // YBR145W // YDL168W
PWY-7036	very long chain fatty acid biosynthesis	YCR034W // G3O-14 // G3O-25 // G3O-33 // G3O-39	YCR034W // YLR372W // YBR159W // YJL097W // YDL015C
PWY-7283	wybutosine biosynthesis	YOL141W // G3O-30560 // G3O-32610 // G3O-34098 // G3O-31120	YOL141W // YGL050W // YML005W // YPL207W // YHR070W
SALVPURINE2-PWY	xanthine and xanthosine salvage	YJR133W	YJR133W
LARABITOLUTIL-PWY	xylitol degradation	YLR070C // YGR194C	YLR070C // YGR194C
PWY-6074	zymosterol biosynthesis	YNL280C // YGR060W // YGL001C // YLR100W	YNL280C // YGR060W // YGL001C // YLR100W
